track,cSDR_vocals,cSDR_drums,cSDR_bass,cSDR_other,cSDR_mean,uSDR_vocals,uSDR_drums,uSDR_bass,uSDR_other
AM Contra - Heart Peripheral,13.078632972538376,9.007712982936837,2.9962798451220674,7.76891533921047,8.212885284951938,14.218395192280093,9.215157681608666,5.060346013141138,7.087030565267881
Al James - Schoolboy Facination,10.115323847179793,6.941103094006515,7.297624713476619,5.825880718648875,7.544983093327951,10.42187269476075,7.412023255988186,7.584837028607142,5.849431685607588
Angels In Amplifiers - I'm Alright,12.001815779075454,8.753533374490477,6.922465197165878,8.96849483433098,9.161577296265698,13.16652098169843,8.678877440507554,6.614627585980299,9.162387201942204
Arise - Run Run Run,9.932648477729677,9.64500616218339,9.514880708094047,11.106144000045092,10.049669837013052,11.630639870450914,9.880610401724654,9.706673466007693,10.700400030056283
BKS - Bulldozer,9.008313458003945,11.320264146630606,8.144735509209971,8.531743964649976,9.251264269623626,11.566643201204004,11.146790252815286,8.190737086520208,8.295972051362227
BKS - Too Much,13.080711295665456,8.941080427306185,10.271376861721397,7.382750578972367,9.91897979091635,13.493876508681417,9.14687807842818,9.830532250282861,8.172020045160162
Ben Carrigan - We'll Talk About It All Tonight,7.3887059431760544,8.98206762890142,8.436087405535883,6.906364968841072,7.928306486613607,8.660938100564124,9.052367077382648,8.545523917816007,7.898646388188091
Bobby Nobody - Stitch Up,10.919532129352358,7.991776217152136,8.962681766698367,6.968057162297343,8.710511818875052,11.061746846898377,7.761313780270374,8.421396740028635,7.8179590582885625
Buitraker - Revo X,8.865987704683615,12.11283136142475,7.685000281662284,8.288189753449043,9.238002275304922,8.957643301610736,12.142763031640486,7.815690840055178,8.769367493216558
Carlos Gonzalez - A Place For Us,9.475093195360973,8.012522232642086,2.09378166892031,9.50837940531948,7.272444125560713,10.313382187859299,8.827048762076974,4.9310464462033385,9.180789119273335
Cristina Vane - So Easy,12.05758832697259,12.210445588005605,6.712257217290734,6.52233953562196,9.375657666972723,12.267359499896715,12.429768421342594,6.529179091549697,6.906256155682824
Detsky Sad - Walkie Talkie,12.986133652289647,12.24360118634262,6.0197204810510465,6.3386881132691055,9.397035858238105,12.912425999586592,12.172001392675698,5.58294742709606,8.443849155217869
