track,cSDR_mean,uSDR_vocals,uSDR_drums,uSDR_bass,uSDR_other
AM Contra - Heart Peripheral,,0.0,0.0,0.0,0.0
Al James - Schoolboy Facination,,0.0,0.0,0.0,0.0
Angels In Amplifiers - I'm Alright,,0.0,0.0,0.0,0.0
Arise - Run Run Run,,0.0,0.0,0.0,0.0
BKS - Bulldozer,,0.0,0.0,0.0,0.0
BKS - Too Much,,0.0,0.0,0.0,0.0
Ben Carrigan - We'll Talk About It All Tonight,,0.0,0.0,0.0,0.0
Bobby Nobody - Stitch Up,,0.0,0.0,0.0,0.0
Buitraker - Revo X,,0.0,0.0,0.0,0.0
Carlos Gonzalez - A Place For Us,,0.0,0.0,0.0,0.0
Cristina Vane - So Easy,,0.0,0.0,0.0,0.0
Detsky Sad - Walkie Talkie,,0.0,0.0,0.0,0.0
Enda Reilly - Cur An Long Ag Seol,,0.0,0.0,0.0,0.0
Forkupines - Semantics,,0.0,0.0,0.0,0.0
Georgia Wonder - Siren,,0.0,0.0,0.0,0.0
Girls Under Glass - We Feel Alright,,0.0,0.0,0.0,0.0
Hollow Ground - Ill Fate,,0.0,0.0,0.0,0.0
James Elder & Mark M Thompson - The English Actor,,0.0,0.0,0.0,0.0
Juliet's Rescue - Heartbeats,,0.0,0.0,0.0,0.0
Little Chicago's Finest - My Own,,0.0,0.0,0.0,0.0
Louis Cressy Band - Good Time,,0.0,0.0,0.0,0.0
Lyndsey Ollard - Catching Up,,0.0,0.0,0.0,0.0
M.E.R.C. Music - Knockout,,0.0,0.0,0.0,0.0
Moosmusic - Big Dummy Shake,,0.0,0.0,0.0,0.0
Motor Tapes - Shore,,0.0,0.0,0.0,0.0
Mu - Too Bright,,0.0,0.0,0.0,0.0
Nerve 9 - Pray For The Rain,,0.0,0.0,0.0,0.0
PR - Happy Daze,,0.0,0.0,0.0,0.0
PR - Oh No,,0.0,0.0,0.0,0.0
Punkdisco - Oral Hygiene,,0.0,0.0,0.0,0.0
Raft Monk - Tiring,,0.0,0.0,0.0,0.0
Sambasevam Shanmugam - Kaathaadi,,0.0,0.0,0.0,0.0
Secretariat - Borderline,,0.0,0.0,0.0,0.0
Secretariat - Over The Top,,0.0,0.0,0.0,0.0
Side Effects Project - Sing With Me,,0.0,0.0,0.0,0.0
Signe Jakobsen - What Have You Done To Me,,0.0,0.0,0.0,0.0
Skelpolu - Resurrection,,0.0,0.0,0.0,0.0
Speak Softly - Broken Man,,0.0,0.0,0.0,0.0
Speak Softly - Like Horses,,0.0,0.0,0.0,0.0
The Doppler Shift - Atrophy,,0.0,0.0,0.0,0.0
The Easton Ellises (Baumi) - SDRNR,,0.0,0.0,0.0,0.0
The Easton Ellises - Falcon 69,,0.0,0.0,0.0,0.0
The Long Wait - Dark Horses,,0.0,0.0,0.0,0.0
The Mountaineering Club - Mallory,,0.0,0.0,0.0,0.0
The Sunshine Garcia Band - For I Am The Moon,,0.0,0.0,0.0,0.0
Timboz - Pony,,0.0,0.0,0.0,0.0
Tom McKenzie - Directions,,0.0,0.0,0.0,0.0
Triviul feat. The Fiend - Widow,,0.0,0.0,0.0,0.0
We Fell From The Sky - Not You,,0.0,0.0,0.0,0.0
Zeno - Signs,,0.0,0.0,0.0,0.0
