track,cSDR,vocals_rel_dB,cSDR_vocals,drums_rel_dB,cSDR_drums,bass_rel_dB,cSDR_bass,other_rel_dB,cSDR_other
AM Contra - Heart Peripheral,2.2599496005744553,-6.4825463,10.333446606081598,-3.9105206,7.84046070493947,-8.29899,-9.592213794402458,-6.5430727,0.4581048856792104
Al James - Schoolboy Facination,8.266002826553061,-3.690305,9.037923563342398,-8.123303,6.859737396399997,-6.468287,12.256237310754422,-7.2272797,4.910113035715425
Angels In Amplifiers - I'm Alright,9.030504385436757,-4.780063,9.646979899979293,-7.566799,7.382247606761414,-8.718039,10.899356720052271,-4.4306245,8.19343331495404
Arise - Run Run Run,5.216789856791816,-9.120484,10.34203109907038,-9.314848,-2.707947260216178,-4.4040093,12.32553914124216,-3.874972,0.907536447070899
BKS - Bulldozer,8.360754411341947,-8.580221,4.568585382546594,-3.6724305,12.3873003894884,-6.546965,9.896225717405944,-6.724606,6.590906155926851
BKS - Too Much,10.633886733208268,-6.2383366,11.896896436467314,-5.446456,10.10779966464241,-4.906512,14.38464391573046,-8.186581,6.146206915992894
Ben Carrigan - We'll Talk About It All Tonight,8.526145850853386,-7.87,4.777050599646767,-5.156517,10.039057547497274,-6.0245132,13.351695743936707,-5.5414867,5.936779512332789
Bobby Nobody - Stitch Up,8.542795710243862,-6.7075353,9.853741459895058,-7.5099397,7.432021723067875,-5.4114428,11.240111337262396,-4.9201627,5.645308320750123
Buitraker - Revo X,9.62447273030041,-10.061612,5.956066464950176,-3.4395046,14.173595084551785,-6.835846,11.639157165813682,-6.0773206,6.729072205885994
Carlos Gonzalez - A Place For Us,5.1450660090616065,-4.1079063,7.070804324370893,-6.872141,6.210290800962301,-13.309448,-0.1753560733392655,-4.4798203,7.4745249842525
Cristina Vane - So Easy,9.375337441909023,-5.5473323,11.06394935912553,-3.8889587,13.737824818903611,-8.909214,7.089946286636095,-7.2058744,5.609629302970863
Detsky Sad - Walkie Talkie,6.793280364588882,-8.8849125,9.877408235113842,-2.1566727,9.72354397845898,-12.642557,5.314980060573352,-6.698148,2.2571891842093543
Enda Reilly - Cur An Long Ag Seol,11.967034442797418,-5.4885964,10.82980790255046,-5.7840056,16.51104369243925,-6.524687,11.133318007318293,-6.55987,9.39396816888167
Forkupines - Semantics,8.447887265139938,-9.103389,7.607839199049536,-2.595292,11.78647502326883,-9.852625,8.452853366863796,-6.498327,5.944381471377594
Georgia Wonder - Siren,8.668932683983181,-7.6050477,7.214396765895528,-5.501461,10.629745086601789,-5.4833703,10.573585107124591,-5.5295334,6.258003776310817
Girls Under Glass - We Feel Alright,6.668709598340003,-11.308542,5.526325075048042,-4.1468186,9.34845251519208,-5.4917264,5.928374935219884,-5.6937323,5.8716858679000055
Hollow Ground - Ill Fate,5.726243984333352,-11.523887,7.473297126784215,-8.570647,6.667070543196541,-7.1567364,3.5143178468498935,-2.2170236,5.250290420502761
James Elder & Mark M Thompson - The English Actor,8.064503383287875,-4.9257364,7.608520825384282,-7.020059,8.210822350733228,-10.184002,8.369849506329082,-4.128656,8.068820850704904
Juliet's Rescue - Heartbeats,8.352539478146046,-8.094782,9.137524518957822,-3.2050128,18.184605055671497,-10.9448185,0.0034795497876857,-5.4303875,6.084548788167181
Little Chicago's Finest - My Own,6.686054785354345,-7.0565457,10.795178252588094,-1.550766,6.723822935162471,-12.881084,8.834715761324471,-12.854811,0.3905021923423419
Louis Cressy Band - Good Time,10.175803999652974,-8.40153,10.36017795103016,-4.898163,10.295363805745978,-9.061784,11.176961151178984,-3.911146,8.87071309065677
Lyndsey Ollard - Catching Up,10.006994566142788,-2.8853445,11.401388051519634,-7.8497515,8.469597782943026,-9.57097,12.033248956444,-6.7970967,8.123743473664499
M.E.R.C. Music - Knockout,10.784505266640004,-3.9479303,10.17004681552701,-5.731714,11.388573620189042,-9.7412815,14.586972400088252,-6.508342,6.992428230755716
