track,cSDR_vocals,cSDR_drums,cSDR_bass,cSDR_other,cSDR_mean,uSDR_vocals,uSDR_drums,uSDR_bass,uSDR_other
AM Contra - Heart Peripheral,-5.838893305383584,-1.5802390790193988,-10.509904758294681,-6.598677714543661,-6.131928714310331,-5.37917942225519,-1.633953543318939,-7.606138605384423,-5.466474175600338
Al James - Schoolboy Facination,-1.4029926838962403,-7.718650563062655,-5.383678317463215,-6.17082851037702,-5.169037518699783,-1.28274379392221,-7.3761711338040445,-5.33625867652073,-6.308716933629239
Angels In Amplifiers - I'm Alright,-3.3025889810829816,-6.843088489475699,-7.943272844898816,-2.78193373715618,-5.217721013153419,-3.0280998180403182,-6.726935767815643,-8.09421318395507,-2.5202170738139804
Arise - Run Run Run,-8.745629734786007,-7.877842520694612,-2.840439291972206,-1.4999642556723993,-5.240968950781307,-8.547833473993988,-8.789721201769344,-2.527657013898092,-1.6578613144950163
BKS - Bulldozer,-10.11499137926517,-1.4190237530692007,-5.714836550694043,-6.857114950189924,-6.026491658304584,-7.930774129256953,-1.2482325631793603,-5.475128911848631,-5.685816295609355
BKS - Too Much,-3.60042686545784,-4.857354766636632,-3.507700074886844,-8.424727648420017,-5.097552338850334,-5.0564043299869095,-3.9741139833062578,-3.2043902785033875,-7.470209533620851
Ben Carrigan - We'll Talk About It All Tonight,-7.892249848203834,-2.840811751335728,-4.575384720082845,-5.127021416301984,-5.108866933981098,-7.075720076558963,-3.567620270364638,-4.769583759655635,-4.124601778616563
Bobby Nobody - Stitch Up,-4.753008062504091,-7.163259219284728,-3.889533368811808,-5.08852852105174,-5.2235822929130915,-5.667182636840633,-6.657240505599571,-3.9382843297172796,-3.2412829385418735
Buitraker - Revo X,-9.047601242014618,-0.8686216400680211,-6.142991013861373,-5.002138975115594,-5.265338217764901,-9.61194039344989,-0.8447330006863021,-5.859375440581988,-4.85630395161978
Carlos Gonzalez - A Place For Us,-2.054764922296517,-6.598956813970277,-16.501520452242573,-2.367288162115351,-6.88063258765618,-1.9533357573397667,-5.868400341589521,-13.099926155674847,-2.5508938840919555
Cristina Vane - So Easy,-3.5637403245733994,-2.251761067066681,-8.531283051231787,-6.577897947073882,-5.231170597486438,-4.133162335766851,-1.6202570208674094,-8.335328451161953,-6.314890349975956
Detsky Sad - Walkie Talkie,-3.19944644184134,0.06590418782362165,-12.298085016336167,-10.002866812797432,-6.358623520787829,-8.285404982864392,1.877478011995335,-12.427152219437048,-5.665841503286102
Enda Reilly - Cur An Long Ag Seol,-4.198975879923609,-3.3161929986730403,-6.966093433375043,-5.674061777394454,-5.038831022341537,-4.063063921355222,-4.367381913124692,-5.369174467645217,-5.4899312812639165
