track,cSDR_vocals,cSDR_drums,cSDR_bass,cSDR_other,cSDR_mean,uSDR_vocals,uSDR_drums,uSDR_bass,uSDR_other
AM Contra - Heart Peripheral,10.354619166734865,7.90462793602944,-9.598118852307982,0.46571338772832654,2.2817104095461627,11.463468724520906,8.314811183200659,-1.29676530316567,0.4807247613079641
Al James - Schoolboy Facination,9.056411362552197,6.889228640862934,12.369958513284418,4.941745404152319,8.314335980212968,7.413752312846854,6.929812178452044,10.292372680051692,3.387519028920163
Angels In Amplifiers - I'm Alright,9.71232763863312,7.41369466295271,10.936655543542042,8.214795316490774,9.069368290404661,11.094996628570392,7.329651622540835,10.544653370199892,8.439256487767517
Arise - Run Run Run,10.416056277501047,-2.68948226597806,12.546962900585278,0.899783723962801,5.293330159017767,11.745797808349483,-3.3234822054033035,7.8708182130458155,0.876941262048647
BKS - Bulldozer,4.578313384267739,12.405965578475444,9.951741475686184,6.6396576401625005,8.393919519647966,8.818853144199991,11.91072925050712,9.970120492721753,6.585490356366717
BKS - Too Much,11.925332951734786,10.079925382434734,14.50040129879071,6.217155983493574,10.680703904113452,12.018460073604123,10.373597280429316,13.466515186472856,6.6824522693559825
Ben Carrigan - We'll Talk About It All Tonight,4.761008994297508,10.063880010425246,13.311128175951435,5.933599041289407,8.517404055490898,5.887768255105393,10.06234982681978,13.38692323449753,6.727158600137377
Bobby Nobody - Stitch Up,9.881322623090096,7.510385387234381,11.30079835643689,5.7450907820460895,8.609399287201864,10.065131449354274,7.474394534602524,8.714522282927726,6.504602983836926
Buitraker - Revo X,5.990610649618911,14.242822573634403,11.766760396308973,6.813401655280323,9.703398818710653,5.098405475091946,14.091799880739082,11.293449991881158,6.799471920830714
Carlos Gonzalez - A Place For Us,7.094141712000704,6.252613153049196,-0.1757508775138868,7.469406648063567,5.160102658899895,8.016197712963463,7.340092872194791,3.2560835131553167,6.94335793796891
Cristina Vane - So Easy,11.076577071075553,13.826897485867947,7.381454470721049,5.630127860479515,9.478764222036016,10.924087948308987,13.853998553221023,6.953558711941888,5.9039560397739805
Detsky Sad - Walkie Talkie,9.901947204796375,9.805271180968374,5.389182409578037,2.1797946196041744,6.8190488537367395,4.686818968867602,6.019165766250532,4.431658781813208,2.6241444098328515
Enda Reilly - Cur An Long Ag Seol,10.880588025637369,16.57593234245236,11.179476723992732,9.493721567504132,12.032429664896648,11.513253469191762,13.50321601895673,10.701861803896684,9.134831513481256
Forkupines - Semantics,7.63934228202152,11.810597301087515,8.466242796480131,5.953023964055134,8.467301585911075,8.531442450610028,12.739689446678826,7.533184808344535,6.716452151847069
Georgia Wonder - Siren,7.222745519902009,10.758150593660663,10.783161463839084,6.275318106469294,8.759843920967763,6.04634858879024,10.827227776468312,12.27605365422395,6.8659991029298615
Girls Under Glass - We Feel Alright,5.550512750312642,9.464301116928674,6.046990367589895,5.899520276383212,6.740331127803605,6.365808447029612,9.018804610600975,5.40951984733009,6.121713799712656
Hollow Ground - Ill Fate,7.478781541994113,6.779768914097645,3.454904667885322,5.337004014842021,5.762614784704775,7.763953509416095,6.720372438767983,2.6757484362359203,6.633196124869713
James Elder & Mark M Thompson - The English Actor,7.624751735979343,8.247131244941441,8.442530661352027,8.086657313008205,8.100267738820254,7.849627376606197,10.388653367001554,8.477964314257367,7.241224503126713
Juliet's Rescue - Heartbeats,9.154255260677575,18.251902095319814,0.0035359886772561083,6.078021011287006,8.371928588990412,9.956542733095565,15.407223954609897,3.038755309817253,6.857949227383217
Little Chicago's Finest - My Own,12.364229335462507,7.420051021397548,12.066113927184928,1.1263279552908283,8.244180559833952,12.300868403492453,7.179935367693715,9.944148702551264,1.2842641337337977
Louis Cressy Band - Good Time,10.458693793736817,10.35858487763461,11.529396624000995,8.885078542877649,10.307938459562518,10.367217368461976,9.703763082209116,10.216276522189307,9.795776235532959
Lyndsey Ollard - Catching Up,11.41726941831801,8.561820634095092,12.061138996475298,8.115113289239904,10.038835584532077,11.265456143438469,9.063148710625764,12.148537902755711,5.751254711126114
M.E.R.C. Music - Knockout,10.192503375658369,11.464172216396618,14.714248989812786,7.055335917145421,10.856565124753299,10.57715955606528,11.24027793495194,12.60569711845806,6.9691320740503375
Moosmusic - Big Dummy Shake,10.9617824262713,13.048974896796752,9.25782389899611,7.1667953200601655,10.108844135531083,11.189026183430402,12.426510969311169,9.03188212229471,7.591798265106191
Motor Tapes - Shore,5.845382181820408,9.45197188914795,12.21860746379145,11.555200688003996,9.76779055569095,9.40726730582767,9.264272541545122,12.20845425393472,11.020298214434234
Mu - Too Bright,11.490898606067624,15.639183497966613,12.209101757458239,7.899117233775776,11.809575273817062,10.244428307461853,15.100256864485491,5.120931515986281,6.89704725938137
Nerve 9 - Pray For The Rain,7.190662385317156,13.06605040302432,8.747846086299434,7.755523825461708,9.190020675025654,8.489958387638573,13.07402309647631,8.10457877798893,7.756352160129603
PR - Happy Daze,-10.396373184203073,22.06822623565241,7.801168384177712,7.698418756750027,6.792860048094269,0.9781160703408993,19.000587809483477,10.75272783188171,8.838459194430898
PR - Oh No,-0.008591688132486348,6.765579496481276,0.36201972501381235,1.7197228094114938,2.2096825856935243,2.139892823441589,7.116681509443225,3.7006817745854597,0.934800134618434
Punkdisco - Oral Hygiene,9.345442629219093,7.410319229927033,5.457094491564908,1.5011605286317375,5.928504219835693,9.931611099004963,5.628780171816292,5.594314661517249,2.1720748876341855
Raft Monk - Tiring,5.6790828419877935,9.150327101585123,9.750559932322663,5.285656154689619,7.466406507646299,5.79751715440993,9.087463463385028,8.796274388126106,5.535010277014594
Sambasevam Shanmugam - Kaathaadi,13.957286332878242,10.291609229464445,13.90475112620829,6.934597635935083,11.272061081121516,13.729348627989902,8.032333235807739,11.411128503280244,10.178286623403983
Secretariat - Borderline,6.908235953980584,6.815575382734602,6.240700397313528,8.344288284263918,7.077200004573158,8.498399818009021,7.388060540480232,5.861475339913968,9.054814771831301
Secretariat - Over The Top,8.814626245763222,8.596093713893701,10.985000392974433,6.84053799118503,8.809064585954097,10.104956020292285,9.197499741817143,11.257455199854117,8.136151006756402
Side Effects Project - Sing With Me,14.07717876714424,15.82515314913136,15.310880617665148,2.3296716183147157,11.885721038063865,12.892028375681619,15.772047256886667,14.543861303446203,3.3293657850982687
Signe Jakobsen - What Have You Done To Me,10.90062566423719,5.430998527285686,3.693075036785503,7.0012800897377865,6.756494829511541,11.18951160253811,6.313446594137923,4.222409836010488,6.590099880908897
