track,cSDR_vocals,cSDR_drums,cSDR_bass,cSDR_other,cSDR_mean,uSDR_vocals,uSDR_drums,uSDR_bass,uSDR_other
AM Contra - Heart Peripheral,9.826597149520309,6.079030988242791,-4.282937356256454,0.38337134565156217,3.001515531789552,10.916508970755974,6.800105696305136,-1.3947440726881473,0.3588098006150252
Al James - Schoolboy Facination,8.13878701256356,5.051356271874585,6.804578603480814,3.9539168495437056,5.9871596843656665,6.764823738042467,5.492493254100114,6.714584228284189,2.502394728254033
Angels In Amplifiers - I'm Alright,9.101679747004715,6.072806022011758,6.326666230761696,6.683579778284399,7.0461829445156425,10.564624458452164,6.087080707281021,6.093694434839067,6.992222056557593
Arise - Run Run Run,8.560005697345625,-2.854460266837819,8.198721732745948,0.8136291997024165,3.679474090739043,10.234734764232057,-3.357002197262065,6.1970896348925555,0.8116055441953056
BKS - Bulldozer,5.681231354062951,10.134580287657126,7.371438521792002,6.187692975487287,7.343735784749842,8.217265846763448,9.80769526335078,7.265040231346065,5.894565247206867
BKS - Too Much,11.023641216492857,7.693360099223847,9.640981115811744,5.330419709524241,8.422100535263173,11.213529703373592,7.819472102573414,9.243056091680504,5.864320147890302
Ben Carrigan - We'll Talk About It All Tonight,4.38220511180976,7.812252425179248,7.984882978016122,4.670378708195993,6.212429805800281,5.346948588753494,7.8397568925297625,8.221794540133981,5.622962776117366
Bobby Nobody - Stitch Up,9.03383147678641,6.223497151636165,7.741407015107163,4.768526221672811,6.941815466300637,9.214238267759386,6.025953461820582,6.6318006169955535,5.482552048042715
Buitraker - Revo X,5.374117692093272,10.98020658644891,7.244242625279993,5.710100473376203,7.327166844299594,4.559865007487003,11.036670734147462,7.141582625543281,5.828455544591209
Carlos Gonzalez - A Place For Us,6.784564666472992,5.862053867263542,-0.02736421291054853,7.2124397996065195,4.957923530108126,7.667625330845185,6.823888798148029,2.874127645447012,6.487195588767664
Cristina Vane - So Easy,10.20125460205887,11.205043950317215,5.215832735511763,4.6808854078096225,7.825754173924368,10.22963442905094,11.381560598734868,5.190284305894107,5.062501709987064
Detsky Sad - Walkie Talkie,9.581298994253247,9.122259763614528,4.033648944150839,1.9645445268600783,6.175438057219673,4.122885084380165,5.6841116356705506,3.3361446243964132,2.1239052739668
Enda Reilly - Cur An Long Ag Seol,9.255328275627047,13.350692005074617,8.084373480911793,8.007093549133026,9.67437182768662,10.317867287774622,10.543069507509664,8.14754344484835,7.73639124185998
Forkupines - Semantics,7.2347355391951,10.44527254487722,5.707886815443355,5.583346520940881,7.242810355114139,8.171476989745747,11.1953447840181,5.595435063585366,6.362344314958706
Georgia Wonder - Siren,6.548476918065896,8.167329224276514,7.270166098621103,5.375344972803127,6.84032930344166,5.510148888555264,8.008959571578554,8.668923456387038,5.920531844646298
Girls Under Glass - We Feel Alright,5.048701007925772,8.040026774682017,5.210362131348793,5.589298836409848,5.972097187591609,5.892015911802314,7.797129755934136,4.759860281380099,5.9431928679379915
Hollow Ground - Ill Fate,7.146905189663257,5.4912928757638255,2.5297740140261165,4.5516889655453685,4.929915261249642,7.393569669263441,5.38802010274972,1.9199770388865183,6.097630224722375
James Elder & Mark M Thompson - The English Actor,6.99142939270458,6.6101670499986165,5.89351997145664,7.517311801629674,6.753107053947378,7.530534672342034,8.867595069991348,6.415827018323462,6.681192274040687
Juliet's Rescue - Heartbeats,8.866757649984452,14.3598271060929,0.0003527812227723678,5.439539681839391,7.166619304784879,9.574654756447233,12.757321896113273,2.586137063881146,6.383863396653462
Little Chicago's Finest - My Own,12.082748419656657,12.456230392904109,8.70099487130836,1.3370409326023338,8.644253654117865,12.124683839606847,11.606050559412086,8.893834163209666,0.8243947865131929
Louis Cressy Band - Good Time,8.755286010210277,8.821869909981512,6.954093627836228,7.576759213323992,8.027002190338003,9.009897006317836,8.432439613761263,6.906014500999429,8.925575597203967
Lyndsey Ollard - Catching Up,10.956068379334088,6.796283564597497,7.46126613508539,7.204789788900153,8.104601966979281,10.970565428516085,7.393091715960413,8.02053006726891,4.992391203584306
M.E.R.C. Music - Knockout,9.884345144764808,7.311552238567754,7.30548561456094,6.564158775892957,7.766385443446614,10.17072153680257,8.386454978348622,7.103462129645469,6.468758182973061
Moosmusic - Big Dummy Shake,10.095699938195278,10.259087987637708,5.820064631162046,5.747460394305747,7.9805782378251955,10.489574049065375,10.11520486998361,5.765221455907755,6.461240595393586
Motor Tapes - Shore,5.353186287624653,6.280358432256309,9.011465211426902,10.96375953647886,7.9021923669466805,8.740499630344804,6.325670648946357,9.615193747974873,10.383304164226136
Mu - Too Bright,9.511637259320153,12.556466304266968,7.3992601559352105,6.7742301250274135,9.060398461137437,9.53897860677715,13.329217511129535,3.9738821963289666,6.233416869311018
Nerve 9 - Pray For The Rain,6.543867117888789,9.429211290465151,6.195807816883818,6.616703155999356,7.196397345309278,8.010680306682154,9.769183075552888,6.081051804484652,6.869943498420252
PR - Happy Daze,-1.0803426518342052,21.557423925312094,7.491185991019922,7.484807051560847,8.863268579014665,0.7513767876818834,18.475282393734034,10.30722879399702,8.56080917178355
PR - Oh No,0.001826685024234236,6.23039749444402,0.003009079572779138,0.6537233928798611,1.7222391629802236,2.0118327392174438,6.632196245801438,3.071113039318259,0.5557733141143463
Punkdisco - Oral Hygiene,9.258981686738469,4.5368680507501065,3.5446508386499467,1.1184835680957494,4.614746036058568,9.991227966249115,4.282821108095884,4.592950513715326,1.9408111888299062
Raft Monk - Tiring,5.256026682065029,6.397298503060672,6.981311480232271,4.593102386203522,5.806934762890374,5.412501787077112,6.618965953331673,6.483940471776584,4.974796638143266
Sambasevam Shanmugam - Kaathaadi,13.281451088693593,7.321571639536487,11.579183556976137,6.465779254479852,9.661996384921519,12.99587074249693,6.186037463588276,9.897389266534917,9.504476457638155
Secretariat - Borderline,5.738802322944073,5.270460925567384,4.350173546354677,7.228342259111718,5.646944763494464,7.723882400272761,5.961264045120208,4.391815710984168,8.118111288900838
Secretariat - Over The Top,8.061476656985405,6.774907975466099,10.785538136716632,6.752538922862596,8.093615423007684,9.124913698666807,7.619514596701085,11.18783907657301,8.253416222996291
Side Effects Project - Sing With Me,13.117972853036033,13.275804207040913,8.610528850621733,2.2406862394043827,9.311248037525765,11.84952807951656,13.430798765899201,8.15683930938109,2.9391489144675003
